,date,state,retail,grocery,parks,transit,workplaces,residential,cases,deaths,daily_new_cases,daily_new_deaths
0,2/15/2020,AZ,5.21,3.80,19.08,10.92,-1.36,-0.27,1,0,,
1,2/15/2020,CA,6.44,4.56,30.98,5.47,-1.77,-0.62,7,0,6,0
2,2/15/2020,IL,6.36,3.07,15.47,2.07,1.38,-0.79,2,0,-5,0
3,2/15/2020,MA,4.79,-2.93,2.10,6.30,-1.00,-0.36,1,0,-1,0
4,2/15/2020,TX,4.89,2.20,16.13,2.68,0.38,-0.75,2,0,1,0
5,2/15/2020,WA,5.79,1.31,8.96,11.00,-3.09,-0.15,1,0,-1,0
6,2/15/2020,WI,12.81,6.23,8.12,2.83,2.50,-0.92,1,0,0,0
7,2/16/2020,AZ,11.00,4.93,33.15,6.17,-1.93,-0.89,1,0,0,0
8,2/16/2020,CA,14.24,7.39,56.07,6.87,-0.69,-1.40,7,0,6,0
9,2/16/2020,IL,9.90,4.03,21.19,2.66,2.02,-1.23,2,0,-5,0
10,2/16/2020,MA,7.50,-3.57,5.36,3.10,0.67,-0.73,1,0,-1,0
11,2/16/2020,TX,9.12,4.07,29.22,6.80,0.27,-1.18,2,0,1,0
12,2/16/2020,WA,20.82,8.09,39.55,13.44,-0.72,-1.25,1,0,-1,0
13,2/16/2020,WI,12.65,6.46,17.53,2.38,2.26,-1.30,1,0,0,0
14,2/17/2020,AZ,5.53,4.20,32.38,10.75,-28.07,4.46,1,0,0,0
15,2/17/2020,CA,11.62,1.75,60.98,-5.93,-38.48,7.48,7,0,6,0
16,2/17/2020,IL,-0.51,-3.97,-11.63,-4.26,-20.89,5.32,2,0,-5,0
17,2/17/2020,MA,12.50,0.14,42.56,-18.20,-36.93,8.17,1,0,-1,0
18,2/17/2020,NE,2.66,-1.15,22.33,3.75,-9.69,3.50,10,0,9,0
19,2/17/2020,TX,4.33,0.78,23.24,5.59,-16.35,3.51,2,0,-8,0
20,2/17/2020,WA,13.27,3.06,73.85,7.18,-32.83,5.40,1,0,-1,0
21,2/17/2020,WI,-4.75,-1.72,-8.95,-7.55,-5.07,2.85,1,0,0,0
22,2/18/2020,AZ,2.79,4.40,19.15,4.25,1.80,0.00,1,0,0,0
23,2/18/2020,CA,2.75,2.39,25.12,3.45,-1.36,-0.06,7,0,6,0
24,2/18/2020,IL,0.49,-1.52,4.25,1.77,1.35,0.28,2,0,-5,0
25,2/18/2020,MA,-2.36,-7.29,-19.18,-4.25,-7.79,3.17,1,0,-1,0
26,2/18/2020,NE,3.42,0.76,30.33,7.00,1.34,-0.40,10,0,9,0
27,2/18/2020,TX,0.90,-1.77,1.04,2.94,0.69,0.32,2,0,-8,0
28,2/18/2020,WA,5.91,3.09,47.90,9.32,-1.31,-0.18,1,0,-1,0
29,2/18/2020,WI,-0.94,-0.67,7.11,3.70,-0.20,0.51,1,0,0,0
30,2/19/2020,AZ,4.27,3.40,19.54,9.17,1.33,-0.38,1,0,0,0
31,2/19/2020,CA,3.00,1.60,21.17,1.10,-1.55,0.19,7,0,6,0
32,2/19/2020,IL,2.44,-2.34,3.00,2.87,1.77,0.06,2,0,-5,0
33,2/19/2020,MA,3.07,-1.57,5.00,-3.36,-7.50,1.92,1,0,-1,0
34,2/19/2020,NE,-10.66,-5.05,-3.67,-4.58,0.18,1.79,10,0,9,0
35,2/19/2020,TX,-1.32,-1.65,-11.00,2.47,1.16,0.98,2,0,-8,0
36,2/19/2020,WA,5.67,3.41,50.00,11.14,1.46,-0.89,1,0,-1,0
37,2/19/2020,WI,0.72,-0.97,-7.56,-1.55,1.70,0.06,1,0,0,0
38,2/20/2020,AZ,7.13,5.53,22.54,6.83,-0.20,0.00,1,0,0,0
39,2/20/2020,CA,4.49,1.88,23.79,2.30,-1.61,-0.02,8,0,7,0
40,2/20/2020,IL,1.47,-0.76,0.69,1.97,1.79,0.06,2,0,-6,0
41,2/20/2020,MA,4.79,-1.57,0.40,-0.36,-6.79,1.83,1,0,-1,0
42,2/20/2020,NE,1.15,-2.38,5.33,4.92,-0.30,0.73,11,0,10,0
43,2/20/2020,TX,-0.82,-1.44,-12.42,2.17,-0.04,1.40,2,0,-9,0
44,2/20/2020,WA,6.97,3.66,45.45,10.73,0.71,-0.89,1,0,-1,0
45,2/20/2020,WI,3.26,0.39,-8.83,-0.45,1.32,0.32,1,0,0,0
46,2/21/2020,AZ,2.14,2.20,13.85,6.75,-0.27,0.00,1,0,0,0
47,2/21/2020,CA,2.91,0.27,18.58,1.66,-0.63,0.11,9,0,8,0
48,2/21/2020,IL,4.92,-1.04,8.35,3.84,3.47,-0.86,2,0,-7,0
49,2/21/2020,MA,2.29,-4.21,-6.45,-0.50,-7.86,2.83,1,0,-1,0
50,2/21/2020,NE,6.15,0.87,30.67,11.75,-1.47,-1.43,11,0,10,0
51,2/21/2020,TX,2.26,-0.62,3.00,4.28,1.93,-0.32,4,0,-7,0
52,2/21/2020,WA,4.94,1.91,44.27,11.61,1.89,-0.85,1,0,-3,0
53,2/21/2020,WI,6.11,0.52,0.75,0.60,0.19,0.52,1,0,0,0
54,2/22/2020,AZ,-6.43,-4.93,-33.86,-5.25,-4.93,2.80,1,0,0,0
55,2/22/2020,CA,5.02,2.55,20.51,-0.21,0.64,-0.33,9,0,8,0
56,2/22/2020,IL,15.45,8.58,64.57,7.57,5.34,-2.56,2,0,-7,0
57,2/22/2020,MA,6.86,-1.36,55.11,6.60,2.46,-1.09,1,0,-1,0
58,2/22/2020,NE,11.82,5.50,106.00,10.17,-0.67,-2.50,11,0,10,0
59,2/22/2020,TX,5.35,0.71,12.48,3.38,3.21,-0.87,4,0,-7,0
60,2/22/2020,WA,8.15,3.91,50.70,14.75,0.84,-1.05,1,0,-3,0
61,2/22/2020,WI,14.70,9.30,38.83,6.33,3.50,-2.29,1,0,0,0
62,2/23/2020,AZ,3.36,0.60,-0.77,4.83,-0.57,0.11,1,0,0,0
63,2/23/2020,CA,8.84,4.69,34.07,5.89,1.23,-0.73,9,0,8,0
64,2/23/2020,IL,15.22,10.77,94.69,4.52,4.28,-1.82,2,0,-7,0
65,2/23/2020,MA,8.15,-0.07,71.91,10.80,3.25,-1.09,1,0,-1,0
66,2/23/2020,NE,7.86,4.84,68.67,3.91,3.76,-1.67,11,0,10,0
67,2/23/2020,TX,4.77,1.12,-7.42,6.44,0.43,0.00,4,0,-7,0
68,2/23/2020,WA,11.03,1.34,-4.74,9.56,0.65,-0.20,1,0,-3,0
69,2/23/2020,WI,16.19,10.63,49.82,7.94,4.04,-2.09,1,0,0,0
70,2/24/2020,AZ,3.43,4.07,13.15,7.67,2.60,0.00,1,0,0,0
71,2/24/2020,CA,2.73,1.04,18.39,0.54,3.84,-0.38,11,0,10,0
72,2/24/2020,IL,1.85,3.69,-6.50,-1.20,2.73,0.46,2,0,-9,0
73,2/24/2020,MA,5.14,0.36,58.00,4.70,2.21,-0.92,1,0,-1,0
74,2/24/2020,NE,2.28,4.39,35.67,3.08,3.17,-0.27,12,0,11,0
75,2/24/2020,TX,3.85,0.45,5.79,1.62,4.02,-0.47,10,0,-2,0
76,2/24/2020,WA,3.39,2.00,14.82,6.41,4.63,-0.63,5,0,-5,0
77,2/24/2020,WI,3.36,4.34,-0.69,-4.00,2.72,-0.21,1,0,-4,0
78,2/25/2020,AZ,4.14,3.73,10.69,7.25,2.33,-0.08,1,0,0,0
79,2/25/2020,CA,4.00,1.11,26.39,3.33,2.86,-0.81,11,0,10,0
