,date,state,retail,grocery,parks,transit,workplaces,residential,cases,deaths,daily_new_cases,daily_new_deaths
0,2020-03-12,AK,16.285714285714285,18.8,10.0,2.0,-4.5,1.6,1,0,,
1,2020-03-13,AK,6.285714285714286,16.666666666666668,6.0,0.6666666666666666,-10.0,3.25,1,0,0.0,0.0
2,2020-03-14,AK,7.428571428571429,17.6,23.0,-2.3333333333333335,-3.5,1.0,1,0,0.0,0.0
3,2020-03-15,AK,8.714285714285714,13.0,62.0,-3.3333333333333335,-0.2,0.6666666666666666,1,0,0.0,0.0
4,2020-03-16,AK,3.7142857142857144,16.4,30.0,-7.333333333333333,-9.8,3.25,3,0,2.0,0.0
5,2020-03-17,AK,-5.857142857142857,7.4,-1.0,-14.666666666666666,-12.545454545454545,6.5,6,0,3.0,0.0
6,2020-03-18,AK,-13.285714285714286,5.6,5.0,-19.0,-17.363636363636363,9.5,9,0,3.0,0.0
7,2020-03-19,AK,-26.5,2.8,-1.0,-20.333333333333332,-20.0,10.75,12,0,3.0,0.0
8,2020-03-20,AK,-26.428571428571427,-5.714285714285714,24.0,-26.666666666666668,-20.545454545454547,12.25,14,0,2.0,0.0
9,2020-03-21,AK,-31.142857142857142,-6.666666666666667,-10.0,-36.666666666666664,-18.0,9.0,21,0,7.0,0.0
10,2020-03-22,AK,-30.0,-7.6,108.0,-40.333333333333336,-20.0,7.0,22,0,1.0,0.0
11,2020-03-23,AK,-33.142857142857146,-17.666666666666668,19.0,-39.333333333333336,-28.363636363636363,13.5,36,0,14.0,0.0
12,2020-03-24,AK,-33.857142857142854,-12.2,19.0,-45.0,-31.818181818181817,15.5,42,0,6.0,0.0
13,2020-03-25,AK,-41.857142857142854,-23.166666666666668,10.0,-48.333333333333336,-34.75,17.25,59,0,17.0,0.0
14,2020-03-26,AK,-40.142857142857146,-21.666666666666668,46.0,-48.0,-34.18181818181818,16.5,69,0,10.0,0.0
15,2020-03-27,AK,-40.285714285714285,-19.571428571428573,-2.0,-56.666666666666664,-32.63636363636363,18.25,85,1,16.0,1.0
16,2020-03-28,AK,-46.714285714285715,-20.857142857142858,22.0,-58.0,-26.714285714285715,11.666666666666666,102,1,17.0,0.0
17,2020-03-29,AK,-50.42857142857143,-30.8,51.0,-65.0,-31.8,11.0,114,2,12.0,1.0
18,2020-03-30,AK,-41.857142857142854,-24.0,25.0,-56.0,-40.54545454545455,17.0,120,2,6.0,0.0
19,2020-03-31,AK,-37.42857142857143,-16.4,25.0,-51.333333333333336,-37.54545454545455,17.75,133,2,13.0,0.0
20,2020-04-01,AK,-36.57142857142857,-16.0,-2.0,-50.666666666666664,-36.18181818181818,17.75,143,2,10.0,0.0
21,2020-04-02,AK,-41.714285714285715,-20.375,-22.0,-57.0,-36.25,19.5,146,2,3.0,0.0
22,2020-04-03,AK,-41.0,-20.428571428571427,11.0,-56.666666666666664,-34.63636363636363,19.25,156,2,10.0,0.0
23,2020-04-04,AK,-42.285714285714285,-22.285714285714285,21.0,-59.0,-32.8,14.0,169,3,13.0,1.0
24,2020-04-05,AK,-41.57142857142857,-20.4,58.0,-60.333333333333336,-31.4,10.0,183,4,14.0,1.0
25,2020-04-06,AK,-36.25,-19.75,6.0,-56.0,-35.45454545454545,17.0,189,4,6.0,0.0
26,2020-04-07,AK,-36.25,-17.0,2.0,-56.0,-36.09090909090909,17.75,211,4,22.0,0.0
27,2020-04-08,AK,-35.0,-14.75,29.0,-57.333333333333336,-36.09090909090909,18.25,224,5,13.0,1.0
28,2020-04-09,AK,-34.25,-14.0,25.0,-55.666666666666664,-35.36363636363637,17.75,233,5,9.0,0.0
29,2020-04-10,AK,-37.0,-11.5,30.0,-54.666666666666664,-35.09090909090909,19.0,244,5,11.0,0.0
30,2020-04-11,AK,-36.75,-6.0,29.0,-60.666666666666664,-32.2,11.0,255,6,11.0,1.0
31,2020-04-12,AK,-54.0,-33.5,-2.0,-63.0,-37.6,11.0,270,6,15.0,0.0
32,2020-04-13,AK,-32.5,-16.0,9.0,-56.666666666666664,-34.36363636363637,16.0,275,6,5.0,0.0
33,2020-04-14,AK,-27.5,-14.75,24.0,-54.0,-33.54545454545455,16.75,283,7,8.0,1.0
34,2020-04-15,AK,-19.75,-6.5,-12.0,-54.0,-33.45454545454545,16.75,291,7,8.0,0.0
35,2020-04-16,AK,-24.5,-7.25,3.0,-49.333333333333336,-33.45454545454545,16.75,298,7,7.0,0.0
36,2020-04-17,AK,-28.5,-11.25,-18.5,-49.0,-31.636363636363637,17.0,307,7,9.0,0.0
37,2020-04-18,AK,-27.25,-6.25,52.0,-52.0,-25.5,10.0,312,7,5.0,0.0
38,2020-04-19,AK,-22.666666666666668,-12.0,69.0,-56.0,-28.6,9.0,317,7,5.0,0.0
39,2020-04-20,AK,-21.0,-9.5,16.0,-46.0,-33.09090909090909,14.25,319,7,2.0,0.0
40,2020-04-21,AK,-23.25,-10.75,18.0,-51.666666666666664,-32.72727272727273,15.75,327,7,8.0,0.0
41,2020-04-22,AK,-19.25,-8.0,53.0,-52.666666666666664,-31.636363636363637,15.5,333,7,6.0,0.0
42,2020-04-23,AK,-22.5,-7.75,31.0,-47.333333333333336,-32.25,16.0,335,7,2.0,0.0
43,2020-04-24,AK,-22.75,-7.25,5.5,-51.333333333333336,-28.636363636363637,15.5,337,7,2.0,0.0
44,2020-04-25,AK,-16.5,2.25,125.0,-52.333333333333336,-23.0,7.0,337,7,0.0,0.0
45,2020-04-26,AK,-9.666666666666666,-0.25,172.0,-57.0,-26.4,6.0,339,7,2.0,0.0
46,2020-04-27,AK,-10.333333333333334,-3.0,,-48.333333333333336,-29.272727272727273,12.0,343,7,4.0,0.0
47,2020-04-28,AK,-9.0,-4.25,114.0,-46.666666666666664,-30.181818181818183,3.5,349,7,6.0,0.0
48,2020-04-29,AK,-6.0,1.75,88.0,-46.666666666666664,-29.818181818181817,13.0,353,7,4.0,0.0
49,2020-04-30,AK,-10.5,0.25,56.0,-47.0,-29.454545454545453,13.25,353,7,0.0,0.0
